user_id,session_id,action,viewed,carted,favorited,purchased,session_duration
11,4,"['pv', 'pv']",True,False,False,False,3.9166666666666665
17,1,"['pv', 'pv']",True,False,False,False,11.2
18,1,['pv'],True,False,False,False,0.0
18,2,['pv'],True,False,False,False,0.0
23,3,['pv'],True,False,False,False,0.0
25,1,['pv'],True,False,False,False,0.0
27,2,['pv'],True,False,False,False,0.0
29,1,"['pv', 'pv', 'pv']",True,False,False,False,4.966666666666667
29,4,['pv'],True,False,False,False,0.0
30,3,['pv'],True,False,False,False,0.0
30,7,['pv'],True,False,False,False,0.0
30,8,['pv'],True,False,False,False,0.0
33,2,['pv'],True,False,False,False,0.0
35,2,['pv'],True,False,False,False,0.0
35,5,"['pv', 'pv']",True,False,False,False,0.85
48,3,"['pv', 'pv']",True,False,False,False,23.95
57,1,"['pv', 'pv']",True,False,False,False,8.183333333333334
57,2,['pv'],True,False,False,False,0.0
59,2,['pv'],True,False,False,False,0.0
64,1,['pv'],True,False,False,False,0.0
68,5,"['pv', 'pv']",True,False,False,False,16.366666666666667
68,6,['pv'],True,False,False,False,0.0
68,9,"['fav', 'pv']",True,False,True,False,20.766666666666666
69,5,['pv'],True,False,False,False,0.0
69,6,"['pv', 'pv']",True,False,False,False,8.983333333333333
70,1,"['pv', 'pv']",True,False,False,False,17.483333333333334
72,2,['pv'],True,False,False,False,0.0
76,1,['pv'],True,False,False,False,0.0
81,2,['pv'],True,False,False,False,0.0
94,2,['pv'],True,False,False,False,0.0
94,4,['pv'],True,False,False,False,0.0
94,6,"['pv', 'pv']",True,False,False,False,0.5333333333333333
95,3,"['pv', 'pv', 'pv', 'fav']",True,False,True,False,14.483333333333333
95,5,['pv'],True,False,False,False,0.0
102,3,"['pv', 'pv']",True,False,False,False,2.35
103,2,['pv'],True,False,False,False,0.0
103,4,['pv'],True,False,False,False,0.0
103,7,['pv'],True,False,False,False,0.0
112,3,"['pv', 'pv']",True,False,False,False,29.183333333333334
114,3,['pv'],True,False,False,False,0.0
115,1,['pv'],True,False,False,False,0.0
115,5,"['pv', 'pv']",True,False,False,False,0.23333333333333334
117,2,['buy'],False,False,False,True,0.0
117,6,"['pv', 'pv']",True,False,False,False,17.466666666666665
119,1,"['pv', 'pv']",True,False,False,False,7.633333333333334
121,3,"['pv', 'pv']",True,False,False,False,13.516666666666667
121,6,['pv'],True,False,False,False,0.0
121,7,['fav'],False,False,True,False,0.0
122,5,"['pv', 'pv']",True,False,False,False,34.71666666666667
126,1,['pv'],True,False,False,False,0.0
134,1,['pv'],True,False,False,False,0.0
140,1,['pv'],True,False,False,False,0.0
141,2,['pv'],True,False,False,False,0.0
154,5,['pv'],True,False,False,False,0.0
159,3,"['pv', 'pv']",True,False,False,False,1.8666666666666667
178,1,['cart'],False,True,False,False,0.0
178,7,"['pv', 'pv']",True,False,False,False,16.666666666666668
182,3,"['pv', 'pv']",True,False,False,False,13.616666666666667
183,2,['pv'],True,False,False,False,0.0
183,5,['pv'],True,False,False,False,0.0
193,2,['fav'],False,False,True,False,0.0
193,3,['pv'],True,False,False,False,0.0
195,3,"['pv', 'pv']",True,False,False,False,6.216666666666667
197,4,['pv'],True,False,False,False,0.0
201,4,['pv'],True,False,False,False,0.0
205,2,['pv'],True,False,False,False,0.0
209,4,"['cart', 'pv']",True,True,False,False,0.7
222,1,"['pv', 'pv']",True,False,False,False,28.966666666666665
223,1,['pv'],True,False,False,False,0.0
224,2,['pv'],True,False,False,False,0.0
226,2,['pv'],True,False,False,False,0.0
234,1,"['pv', 'pv']",True,False,False,False,58.233333333333334
234,2,"['pv', 'pv']",True,False,False,False,31.75
234,3,['pv'],True,False,False,False,0.0
234,6,['pv'],True,False,False,False,0.0
235,2,"['pv', 'pv']",True,False,False,False,11.166666666666666
235,4,"['pv', 'pv']",True,False,False,False,6.216666666666667
236,1,['pv'],True,False,False,False,0.0
237,2,['pv'],True,False,False,False,0.0
237,4,['fav'],False,False,True,False,0.0
240,1,['pv'],True,False,False,False,0.0
241,5,['pv'],True,False,False,False,0.0
243,3,"['pv', 'pv']",True,False,False,False,28.033333333333335
243,4,['pv'],True,False,False,False,0.0
246,1,['pv'],True,False,False,False,0.0
247,1,"['pv', 'pv']",True,False,False,False,27.3
249,3,"['pv', 'pv']",True,False,False,False,3.533333333333333
250,1,['pv'],True,False,False,False,0.0
251,2,"['pv', 'pv']",True,False,False,False,13.416666666666666
256,1,['pv'],True,False,False,False,0.0
256,2,['cart'],False,True,False,False,0.0
256,4,['pv'],True,False,False,False,0.0
259,2,['pv'],True,False,False,False,0.0
260,4,['cart'],False,True,False,False,0.0
260,5,['pv'],True,False,False,False,0.0
261,2,['pv'],True,False,False,False,0.0
272,5,['pv'],True,False,False,False,0.0
277,2,['pv'],True,False,False,False,0.0
